img_name,redness_index,red_pixels_nb
2019_B_L_A1_9.tif,37.08146317149288,9064
2019_B_L_A2_1.tif,18.530577787122002,4299
2019_B_L_A2_10.tif,38.26537164194329,8727
2019_B_L_A2_2.tif,10.418039714305273,2196
2019_B_L_A2_3.tif,50.82889735282571,12174
2019_B_L_A2_4.tif,64.47460616864068,14858
2019_B_L_A2_5.tif,4.942243720203857,1228
2019_B_L_A2_6.tif,88.47255699366615,21347
2019_B_L_A2_7.tif,2.845033681489821,671
2019_B_L_A2_8.tif,42.83886556054425,10378
2019_B_L_A2_9.tif,16.419937059182068,4051
2019_B_L_A3_1.tif,16.174736546951596,3550
2019_B_L_A3_10.tif,6.4245521489408235,1467
2019_B_L_A3_2.tif,100.6992281789269,23356
2019_B_L_A3_3.tif,88.08051290097438,20779
2019_B_L_A3_4.tif,5.712550921512243,1258
2019_B_L_A3_5.tif,126.18969815991395,29201
2019_B_L_A3_6.tif,61.32398667257101,14219
2019_B_L_A3_7.tif,80.56776552988038,18677
2019_B_L_A3_8.tif,0.6108240229234528,163
2019_B_L_A3_9.tif,57.80578967233173,13221
2019_B_S_A1_1.tif,457.03149527341634,98934
2019_B_S_A1_10.tif,426.5330619679753,89143
2019_B_S_A1_2.tif,309.80892137532385,65784
2019_B_S_A1_3.tif,394.2579287610198,76995
2019_B_S_A1_4.tif,231.07761972415213,52202
2019_B_S_A1_5.tif,230.0676018687473,50746
2019_B_S_A1_6.tif,406.3245850785123,84572
2019_B_S_A1_7.tif,214.40842396827685,45670
2019_B_S_A1_8.tif,351.40015925479406,68557
2019_B_S_A1_9.tif,368.48651704113166,76394
2019_B_S_A2_1.tif,249.32630332302682,51432
2019_B_S_A2_10.tif,395.8917028604022,78728
2019_B_S_A2_2.tif,177.47633444513568,39539
2019_B_S_A2_3.tif,347.79064889225543,71767
2019_B_S_A2_4.tif,229.71769057765968,49089
2019_B_S_A2_5.tif,137.19428003083937,32237
2019_B_S_A2_6.tif,348.32493443701657,74076
2019_B_S_A2_7.tif,284.0086660637928,56332
2019_B_S_A2_8.tif,317.3702053006949,67310
2019_B_S_A2_9.tif,449.3762519929836,90670
2019_B_S_A3_1.tif,281.79069124502973,67449
2019_B_S_A3_10.tif,298.46695610888435,62571
2019_B_S_A3_2.tif,421.22024802286074,86544
2019_B_S_A3_3.tif,397.90291346721915,84293
2019_B_S_A3_4.tif,382.2350022087762,81168
2019_B_S_A3_5.tif,374.44509825031594,80453
2019_B_S_A3_6.tif,293.7829531938132,64738
2019_B_S_A3_7.tif,180.12655063465735,42533
2019_B_S_A3_8.tif,234.0463938622429,51373
2019_B_S_A3_9.tif,177.12384207618882,39245
2019_B_S_A4_1.tif,100.80930531811522,23357
2019_B_S_A4_10.tif,310.2434328080267,66882
2019_B_S_A4_2.tif,318.0417941778323,65943
2019_B_S_A4_3.tif,325.7914705542673,67152
2019_B_S_A4_4.tif,333.2725535784197,68973
2019_B_S_A4_5.tif,287.6322535604085,67743
2019_B_S_A4_6.tif,439.68038610009853,88612
